Date,Discharge Observed,Discharge Simulated
1/1/2019,7.99,22.30
1/2/2019,13.37,17.80
1/3/2019,14.14,17.30
1/4/2019,12.29,19.30
1/5/2019,11.62,17.70
1/6/2019,18.36,20.20
1/7/2019,14.44,19.00
1/8/2019,12.91,17.60
1/9/2019,12.99,16.70
1/10/2019,9.67,16.20
1/11/2019,9.61,16.10
1/12/2019,9.6,16.00
1/13/2019,9.6,16.00
1/14/2019,10.23,16.00
1/15/2019,11.58,16.40
1/16/2019,14.66,17.20
1/17/2019,15.97,18.50
1/18/2019,12.49,17.20
1/19/2019,11.2,16.80
1/20/2019,20.38,26.00
1/21/2019,20.02,19.90
1/22/2019,13,17.50
1/23/2019,10.24,16.90
1/24/2019,17.83,21.80
1/25/2019,14.24,18.30
1/26/2019,10.03,16.90
1/27/2019,10.09,16.30
1/28/2019,8.05,16.00
1/29/2019,10.02,16.20
1/30/2019,23.5,21.30
1/31/2019,16.88,19.00
2/1/2019,10.34,16.80
2/2/2019,7.9,13.50
2/3/2019,7.8,12.90
2/4/2019,7.8,12.80
2/5/2019,12.73,13.70
2/6/2019,12.76,14.40
2/7/2019,12.96,13.60
2/8/2019,10.53,13.10
2/9/2019,10.71,13.30
2/10/2019,13.15,13.70
2/11/2019,11.53,13.80
2/12/2019,10.28,13.20
2/13/2019,8.45,12.90
2/14/2019,10.35,13.50
2/15/2019,11.79,14.80
2/16/2019,10.72,13.70
2/17/2019,8.77,13.20
2/18/2019,10.22,13.00
2/19/2019,9.46,12.90
2/20/2019,12.5,14.30
2/21/2019,13.82,15.80
2/22/2019,15.5,15.60
2/23/2019,15.82,15.50
2/24/2019,12.9,14.10
2/25/2019,11.88,14.20
2/26/2019,11.84,13.30
2/27/2019,12.06,13.60
2/28/2019,12.44,13.40
3/1/2019,8.77,13.00
3/2/2019,13.85,22.90
3/3/2019,13.8,26.20
3/4/2019,11.65,25.40
3/5/2019,11.61,25.60
3/6/2019,15.26,28.40
3/7/2019,12.99,25.90
3/8/2019,10.96,24.50
3/9/2019,17.84,26.30
3/10/2019,14.1,25.50
3/11/2019,10.59,24.50
3/12/2019,11.46,24.70
3/13/2019,10.56,24.60
3/14/2019,24.55,29.40
3/15/2019,17.43,27.20
3/16/2019,27,34.40
3/17/2019,20.5,27.90
3/18/2019,11.52,25.20
3/19/2019,9.94,24.50
3/20/2019,9.49,24.20
3/21/2019,13.41,26.50
3/22/2019,11.59,24.90
3/23/2019,12.71,25.10
3/24/2019,13.99,25.90
3/25/2019,12.15,24.80
3/26/2019,22.47,27.60
3/27/2019,23.58,31.80
3/28/2019,20.27,27.80
3/29/2019,15.55,25.40
3/30/2019,23.85,31.10
3/31/2019,17.65,27.00
4/1/2019,14.5,27.10
4/2/2019,14.19,25.50
4/3/2019,21.69,27.40
4/4/2019,25.29,30.40
4/5/2019,28.16,26.50
4/6/2019,23.65,25.30
4/7/2019,21.08,24.40
4/8/2019,23.82,24.70
4/9/2019,22.24,25.20
4/10/2019,23.72,24.90
4/11/2019,28.8,30.10
4/12/2019,33.48,27.80
4/13/2019,26.48,26.00
4/14/2019,32.82,34.70
4/15/2019,25.66,27.60
4/16/2019,32.3,32.40
4/17/2019,27.38,29.10
4/18/2019,22.64,25.70
4/19/2019,19.17,24.60
4/20/2019,20.4,25.30
4/21/2019,24.56,26.10
4/22/2019,40.9,40.70
4/23/2019,26,32.00
4/24/2019,32.11,32.00
4/25/2019,29.34,28.00
4/26/2019,21.24,26.20
4/27/2019,18.81,25.00
4/28/2019,18.22,24.50
4/29/2019,20.06,25.10
4/30/2019,23.87,26.30
5/1/2019,21.73,24.90
5/2/2019,18.02,24.50
5/3/2019,16.13,24.40
5/4/2019,18.12,25.30
5/5/2019,16.68,25.40
5/6/2019,19.76,25.50
