Date,Time,Inflow from R1(m3/s),Inflow from S5 M3/S,Total Inflow (M3/S),Obs Flow (M3/S)
2-Oct-23,0:00,1.6,0.4,2,1.6
3-Oct-23,0:00,1.5,0.4,1.9,1.5
4-Oct-23,0:00,1.5,0.4,1.8,1.5
5-Oct-23,0:00,1.4,0.3,1.8,1.5
6-Oct-23,0:00,1.4,0.3,1.7,1.4
7-Oct-23,0:00,1.3,0.3,1.6,1.3
8-Oct-23,0:00,1.3,0.3,1.6,1.4
9-Oct-23,0:00,1.2,0.3,1.5,1.6
10-Oct-23,0:00,1.2,0.3,1.5,1.6
11-Oct-23,0:00,1.2,0.3,1.4,1.6
12-Oct-23,0:00,1.1,0.2,1.4,1.5
13-Oct-23,0:00,1.1,0.2,1.3,1.4
14-Oct-23,0:00,1.1,0.2,1.3,1.4
15-Oct-23,0:00,1.3,0.2,1.5,1.8
16-Oct-23,0:00,1.5,0.2,1.8,1.7
17-Oct-23,0:00,1.3,0.2,1.5,1.5
18-Oct-23,0:00,1.3,0.2,1.5,1.5
19-Oct-23,0:00,1.3,0.2,1.5,1.6
20-Oct-23,0:00,1.2,0.2,1.3,1.5
21-Oct-23,0:00,1.2,0.2,1.4,1.5
22-Oct-23,0:00,1.1,0.2,1.3,1.4
23-Oct-23,0:00,1.1,0.1,1.2,1.4
24-Oct-23,0:00,1,0.1,1.2,1.5
25-Oct-23,0:00,1.1,0.1,1.3,1.5
26-Oct-23,0:00,1.1,0.1,1.2,1.4
27-Oct-23,0:00,1,0.1,1.1,1.4
28-Oct-23,0:00,1,0.1,1.1,1.5
29-Oct-23,0:00,1.5,0.1,1.6,1.8
30-Oct-23,0:00,1.3,0.1,1.4,1.5
31-Oct-23,0:00,1.2,0.1,1.3,1.4
1-Nov-23,0:00,1.2,0.1,1.3,1.4
2-Nov-23,0:00,1.4,0.1,1.5,2
3-Nov-23,0:00,1.6,0.1,1.7,1.7
4-Nov-23,0:00,1.4,0.1,1.5,1.5
5-Nov-23,0:00,1.3,0.1,1.4,1.7
6-Nov-23,0:00,1.2,0.1,1.3,1.5
7-Nov-23,0:00,1.2,0.1,1.3,1.5
8-Nov-23,0:00,1.1,0.1,1.2,1.4
9-Nov-23,0:00,1.5,0.1,1.6,1.4
10-Nov-23,0:00,1.3,0.1,1.4,1.5
11-Nov-23,0:00,1.2,0.1,1.3,1.4
12-Nov-23,0:00,1.6,0.1,1.7,1.6
13-Nov-23,0:00,1.7,0.1,1.8,1.8
14-Nov-23,0:00,1.5,0.1,1.5,1.6
15-Nov-23,0:00,1.3,0.1,1.4,1.6
16-Nov-23,0:00,2.1,0.1,2.2,1.6
17-Nov-23,0:00,1.8,0.1,1.9,1.5
18-Nov-23,0:00,1.6,0.1,1.7,1.8
19-Nov-23,0:00,1.6,0.1,1.7,1.5
20-Nov-23,0:00,1.5,0.1,1.6,1.5
21-Nov-23,0:00,1.7,0.1,1.7,1.4
22-Nov-23,0:00,1.5,0.1,1.6,1.8
23-Nov-23,0:00,1.6,0.1,1.7,1.8
24-Nov-23,0:00,1.5,0.1,1.5,1.7
25-Nov-23,0:00,1.9,0.1,1.9,1.8
26-Nov-23,0:00,1.6,0.1,1.7,1.5
27-Nov-23,0:00,2.4,0.1,2.5,2
28-Nov-23,0:00,2.1,0.1,2.2,1.7
29-Nov-23,0:00,1.8,0.1,1.9,1.7
30-Nov-23,0:00,1.9,0.1,1.9,1.6
1-Dec-23,0:00,1.7,0.1,1.8,1.5
2-Dec-23,0:00,1.7,0.1,1.8,1.5
3-Dec-23,0:00,2,0.1,2,1.6
4-Dec-23,0:00,1.8,0.1,1.9,1.7
5-Dec-23,0:00,1.6,0.1,1.7,1.5
6-Dec-23,0:00,1.8,0.1,1.9,1.5
7-Dec-23,0:00,1.6,0.1,1.8,1.5
8-Dec-23,0:00,1.6,0.1,1.7,1.5
9-Dec-23,0:00,1.6,0.1,1.6,1.5
10-Dec-23,0:00,1.6,0.1,1.7,1.6
