Date,Gitega
19810101,43
19810102,51
19810103,0
19810104,0
19810105,0
19810106,7
19810107,0
19810108,0
19810109,0
19810110,0
19810111,0
19810112,0
19810113,0
19810114,0
19810115,0
19810116,0
19810117,0
19810118,0
19810119,0
19810120,0
19810121,5
19810122,0
19810123,0
19810124,0
19810125,11
19810126,0
19810127,0
19810128,7
19810129,0
19810130,0
19810131,0
19810201,0
19810202,0
19810203,0
19810204,8
19810205,0
19810206,0
19810207,0
19810208,0
19810209,14
19810210,0
19810211,0
19810212,0
19810213,0
19810214,0
19810215,0
19810216,27
19810217,4
19810218,19
19810219,5
19810220,0
19810221,8
19810222,0
19810223,0
19810224,0
19810225,23
19810226,14
19810227,0
19810228,0
19810301,0
19810302,0
19810303,0
19810304,0
19810305,0
19810306,0
19810307,0
19810308,0
19810309,0
19810310,0
19810311,0
19810312,0
19810313,0
19810314,0
19810315,21
19810316,27
19810317,21
19810318,1
19810319,0
19810320,0
19810321,0
19810322,0
19810323,24
19810324,3
19810325,0
19810326,8
19810327,0
19810328,9
19810329,15
19810330,11
19810331,27
19810401,6
19810402,0
19810403,0
19810404,0
19810405,3
19810406,0
19810407,0
19810408,4
19810409,14
19810410,52
19810411,22
19810412,43
19810413,0
19810414,0
19810415,0
19810416,0
19810417,0
19810418,12
19810419,12
19810420,0
19810421,0
19810422,0
19810423,0
19810424,0
19810425,14
19810426,11
19810427,0
19810428,0
19810429,0
19810430,0
19810501,0
19810502,0
19810503,26
19810504,0
19810505,0
19810506,11
19810507,0
19810508,0
19810509,3
19810510,0
19810511,8
19810512,0
19810513,6
19810514,2
19810515,0
19810516,1
19810517,0
19810518,0
19810519,0
19810520,0
19810521,0
19810522,0
19810523,0
19810524,0
19810525,0
19810526,0
19810527,0
19810528,0
19810529,0
19810530,0
19810531,10
19810601,0
19810602,0
19810603,0
19810604,0
19810605,0
19810606,0
19810607,0
19810608,0
19810609,0
19810610,0
19810611,0
19810612,0
19810613,0
19810614,0
19810615,0
19810616,0
19810617,0
19810618,0
19810619,0
19810620,0
19810621,0
19810622,0
19810623,0
19810624,0
19810625,0
19810626,0
19810627,0
19810628,0
19810629,0
19810630,0
19810701,0
19810702,0
19810703,0
19810704,0
19810705,0
19810706,0
19810707,0
19810708,0
19810709,0
19810710,0
19810711,0
19810712,0
19810713,0
19810714,0
19810715,0
19810716,0
19810717,0
19810718,0
19810719,0
19810720,0
19810721,0
19810722,0
19810723,0
19810724,0
19810725,0
19810726,0
19810727,0
19810728,0
19810729,0
19810730,0
19810731,0
19810801,0
19810802,0
19810803,0
19810804,0
19810805,0
19810806,0
19810807,0
19810808,0
19810809,0
19810810,0
19810811,0
19810812,0
19810813,0
19810814,4
19810815,5
19810816,87
19810817,45
19810818,8
19810819,0
19810820,0
19810821,0
19810822,0
19810823,0
19810824,0
19810825,0
19810826,13
19810827,0
19810828,6
19810829,0
19810830,3
19810831,0
19810901,0
19810902,0
19810903,0
19810904,0
19810905,0
19810906,0
19810907,0
19810908,0
19810909,7
19810910,3
19810911,0
19810912,0
19810913,0
19810914,9
19810915,0
19810916,0
19810917,0
19810918,0
19810919,0
19810920,5
19810921,0
19810922,0
19810923,0
19810924,0
19810925,0
19810926,0
19810927,16
19810928,0
19810929,52
19810930,0
19811001,0
19811002,0
19811003,0
19811004,6
19811005,0
19811006,0
19811007,9
19811008,7
19811009,5
19811010,8
19811011,10
19811012,2
19811013,0
19811014,0
19811015,0
19811016,0
19811017,0
19811018,0
19811019,7
19811020,5
19811021,0
19811022,0
19811023,0
19811024,0
19811025,0
19811026,0
19811027,7
19811028,17
19811029,4
19811030,0
19811031,6
19811101,0
19811102,0
19811103,0
19811104,0
19811105,0
19811106,0
19811107,0
19811108,0
19811109,4
19811110,15
19811111,8
19811112,0
19811113,0
19811114,0
19811115,0
19811116,0
19811117,0
19811118,0
19811119,0
19811120,0
19811121,3
19811122,0
19811123,0
19811124,0
19811125,0
19811126,11
19811127,0
19811128,28
19811129,0
19811130,0
19811201,0
19811202,0
19811203,0
19811204,0
19811205,11
19811206,13
19811207,7
19811208,0
19811209,0
19811210,11
19811211,0
19811212,0
19811213,0
19811214,0
19811215,0
19811216,0
19811217,0
19811218,0
19811219,11
19811220,6
19811221,2
19811222,10
19811223,11
19811224,0
19811225,0
19811226,0
19811227,0
19811228,0
19811229,0
19811230,0
19811231,0
19820101,0
19820102,0
19820103,0
19820104,0
19820105,0
19820106,0
19820107,2
19820108,0
19820109,0
19820110,0
19820111,11
19820112,3
19820113,0
19820114,0
19820115,0
19820116,37
19820117,0
19820118,0
19820119,7
19820120,7
19820121,13
19820122,0
19820123,0
19820124,0
19820125,0
19820126,0
19820127,0
19820128,0
19820129,0
19820130,10
19820131,0
19820201,0
19820202,0
19820203,0
19820204,0
19820205,0
19820206,0
19820207,0
19820208,0
19820209,0
19820210,0
19820211,0
19820212,0
19820213,8
19820214,0
19820215,0
19820216,0
19820217,1
19820218,0
19820219,0
19820220,0
19820221,0
19820222,0
19820223,0
19820224,0
19820225,0
19820226,0
19820227,4
19820228,5
19820301,0
19820302,0
19820303,0
19820304,0
19820305,0
19820306,0
19820307,8
19820308,4
19820309,0
19820310,0
19820311,0
19820312,0
19820313,0
19820314,0
19820315,0
19820316,0
19820317,22
19820318,0
19820319,0
19820320,21
19820321,0
19820322,0
19820323,0
19820324,0
19820325,0
19820326,0
19820327,0
19820328,0
19820329,0
19820330,0
19820331,0
19820401,33
19820402,21
19820403,0
19820404,0
19820405,20
19820406,0
19820407,6
19820408,0
19820409,0
19820410,0
19820411,0
19820412,0
19820413,0
19820414,0
19820415,0
19820416,0
19820417,0
19820418,8
19820419,0
19820420,0
19820421,61
19820422,5
19820423,13
19820424,15
19820425,18
19820426,0
19820427,0
19820428,0
19820429,7
19820430,0
19820501,0
19820502,0
19820503,0
19820504,0
19820505,0
19820506,10
19820507,6
19820508,0
19820509,13
19820510,27
19820511,0
19820512,0
19820513,5
19820514,0
19820515,11
19820516,6
19820517,5
19820518,0
19820519,0
19820520,0
19820521,0
19820522,0
19820523,0
19820524,0
19820525,0
19820526,0
19820527,0
19820528,18
19820529,0
19820530,0
19820531,0
19820601,7
19820602,5
19820603,0
19820604,0
19820605,0
19820606,0
19820607,0
19820608,0
19820609,0
19820610,0
19820611,0
19820612,0
19820613,0
19820614,0
19820615,0
19820616,0
19820617,0
19820618,0
19820619,0
19820620,0
19820621,0
19820622,0
19820623,0
19820624,6
19820625,0
19820626,0
19820627,0
19820628,0
19820629,0
19820630,0
19820701,0
19820702,0
19820703,0
19820704,0
19820705,0
19820706,0
19820707,0
19820708,0
19820709,0
19820710,0
19820711,0
19820712,0
19820713,0
19820714,0
19820715,0
19820716,0
19820717,0
19820718,0
19820719,0
19820720,0
19820721,0
19820722,0
19820723,0
19820724,0
19820725,0
19820726,0
19820727,0
19820728,0
19820729,0
19820730,0
19820731,0
19820801,0
19820802,0
19820803,0
19820804,0
19820805,0
19820806,0
19820807,0
19820808,0
19820809,0
19820810,0
19820811,0
19820812,0
19820813,0
19820814,0
19820815,0
19820816,0
19820817,0
19820818,0
19820819,0
19820820,0
19820821,0
19820822,0
19820823,0
19820824,0
19820825,0
19820826,0
19820827,0
19820828,0
19820829,0
19820830,0
19820831,0
19820901,0
19820902,0
19820903,0
19820904,0
19820905,0
19820906,0
19820907,0
19820908,0
19820909,0
19820910,0
19820911,0
19820912,0
19820913,0
19820914,0
19820915,0
19820916,0
19820917,0
19820918,0
19820919,0
19820920,36
19820921,0
19820922,0
19820923,31
19820924,0
19820925,0
19820926,0
19820927,0
19820928,0
19820929,0
19820930,0
19821001,0
19821002,0
19821003,2
19821004,0
19821005,0
19821006,0
19821007,0
19821008,0
19821009,0
19821010,0
19821011,3
19821012,13
19821013,0
19821014,4
19821015,0
19821016,0
19821017,8
19821018,0
19821019,4
19821020,0
19821021,0
19821022,39
19821023,5
19821024,5
19821025,17
19821026,0
19821027,0
19821028,4
19821029,0
19821030,0
19821031,0
19821101,0
19821102,0
19821103,0
19821104,0
19821105,18
19821106,0
19821107,11
19821108,0
19821109,0
19821110,0
19821111,10
19821112,2
19821113,10
19821114,0
19821115,0
19821116,0
19821117,4
19821118,0
19821119,10
19821120,0
19821121,0
19821122,0
19821123,0
19821124,4
19821125,28
19821126,0
19821127,0
19821128,0
19821129,11
19821130,0
