ID,Longitude,Latitude
 Muhanda/Rubaya ,29.63,-1.95
 Gishali ,30.43,1.91
 Juru ,30.19,-2.1
Gitega,30.06,-1.96
 Butamwa ,30.03,-2.01
 Rubungo RAB ,30.16,-1.92
 Kabuye SW ,30.07,-1.89
KIGALIAERO,30.11,-1.95
 Busasamana-Nyanza ,29.76,-2.35
 Nyamiyaga Paroisse ,29.86,-2.46
 Rurangazi ,29.65,-2.35
 Cyili ,29.88,-2.48
 Gikonko ,29.86,-2.48
 Kansi ,29.75,-2.7
 Kigembe ,29.7,-2.73
 Gakoma  ,29.85,-2.71
 Mukindo ,29.91,-2.46
 Save ,29.76,-2.55
 Runyombyi ,29.51,-2.78
 Cyahinda ,29.6,-2.73
 Kibeho ,29.55,-2.65
NYAKIBANDA,29.68,-2.65
 Karama(Gahororo) ,29.64,-2.6
 Kigoma ,29.63,-2.46
 Rubona ,29.76,-2.46
 Simbi ,29.7,-2.52
 Buruhukiro ,29.38,-2.38
 Cyanika ku ishuri ,29.6,-2.43
GIKONGOROMET,29.55,-2.48
 Kigeme ku ishuri ,29.53,-2.48
 Gatare ,29.69,-2.16
 Kaduha Sector ,29.53,-2.33
 Kitabi Tea ,29.43,-2.55
 Mushubi Paroisse ,29.45,-2.36
 Gitwe ,29.7,-2.21
Byimana,29.71,-2.16
 Kinazi ,29.91,-2.2
 Mwendo ,29.68,-2.16
 Kigoma ,29.8,-2.23
 Kivumu ,29.8,-2.05
 Kibangu ,29.68,-1.83
 Nyabinoni ,29.68,-1.76
 Nyamabuye ,29.78,-2.08
 Rugendabari ,29.66,-1.95
 Gacurabwenge ,29.91,-2.1
 Kayenzi ,29.85,-1.9
 Mugina ,29.94,-2.11
 Gishyita ,29.3,-2.16
Rubengera Met,29.41,-2.07
 Rugabano ,29.48,-2.06
Twumba ,29.36,-2.24
 Boneza ,29.3,-1.9
 Gihango ,29.38,-1.95
 Murunda Paroisse ,29.38,-1.91
 Mushubati ,29.41,-2
 Busasamana ,29.33,-1.6
 Ryabizige ,29.31,-1.62
Gisenyi Aero,29.26,-1.68
 Kanama ,29.35,-1.7
 Nyundo ,29.31,-1.7
 Bigogwe ,29.41,-1.61
 Rwankeri ,29.51,-1.58
 Rugera ,29.61,-1.61
 Gatumba ,29.63,-1.95
Muramba ,29.6,-1.75
 Kabaya ,29.5,-1.76
Nyange ,29.58,-2.05
 Sovu ,29.52,-1.91
Bugarama ,29.02,-2.68
 Mibirizi         ,28.95,-2.56
Kamembeaero,28.91,-2.46
 Mururu ,28.88,-2.53
Nkanka,28.91,-2.41
Nyakabuye,29.03,-2.6
Ntendezi,29.05,-2.45
Cyato,29.2,-2.41
Nyamasheke,29.08,-2.34
Kanjongo,29.15,-2.3
Kirimbi,29.21,-2.25
Shangi,29,-2.38
Cyinzuzi,30,-1.76
Rutongo,30.05,-1.81
Mugambazi,30.05,-1.8
Rutongo,29.95,-1.62
Rusiga,29.95,-1.61
Cyabingo,29.68,-1.56
Janja,29.67,-1.68
Minazi,29.78,-1.73
Muyongwe,29.87,-1.72
Nembaparoisse,29.78,-1.6
Ruli,29.81,-1.81
Rushashi,29.86,-1.73
Remera,29.75,-1.53
BusogoISAE,29.55,-1.56
RhengeriAero,29.61,-1.48
Kinigi,29.56,-1.45
NyangeKabeza,29.51,-1.46
Shingiro,29.5,-1.5
Butaro,29.83,-1.41
Kagogo,29.76,-1.55
Ntaruka,29.75,-1.46
Kinoni,29.71,-1.43
Ruhunde,29.93,-1.6
Rwesero,30.16,-1.8
ByumbaMet,30.05,-1.6
 Mulindi ,30.05,-1.48
 Nyamiyaga (Kabeza) ,30.05,-1.43
 Rwamagana ,30.43,-1.93
 Musha ,30.35,-1.91
 Mwulire ,30.38,-1.98
 Nzige ,30.36,-1.96
 Gatunda ,30.21,-1.36
 Nyakiga-Karama ,30.3,-1.6
 Kagitumba ,30.45,-1.05
NYAGATARE,30.31,-1.28
 Rwempasha ,30.15,-1.36
 Karangazi ,30.39,-1.43
 Gasange ,30.29,-1.8
 Muhura ,30.23,-1.52
 Kabarore ,30.38,-1.62
 Kiziguro ,30.28,-1.63
 Ngarama ,30.23,-1.58
 Nyagahanga ,30.2,-1.61
 Rwimbogo ,30.44,-1.63
 Gahini  ,30.5,-1.85
 Kabarondo ,30.56,-2.01
 Murundi ,30.54,-1.7
 Mukarange ,30.5,-1.9
 Mwiri ,30.55,-1.71
KAWANGIRE,30.43,-1.81
 Rwinkwavu ,30.63,-1.96
 Ndego ,30.71,-2.01
 Gahara ,30.55,-2.32
 Kirehe ,30.66,-2.26
 Mpanga ,30.81,-2.06
 Musaza ,30.61,-2.31
 Nyamugali ,30.73,-2.28
 Nyarubuye ,30.75,-2.2
 Jarama  ,30.36,-2.26
KibungoKazo,30.5,-2.15
Mutenderi ,30.48,-2.26
 Sake ,30.46,-2.2
 Zaza ,30.4,-2.11
Nyamata Paroisse ,30.45,-2.15
 Ruhuha ,30.01,-2.35
